Time,1 LVL TZ: Zone Lights Electricity Rate (W) - Hourly,2 LVL TZ: Zone Lights Electricity Rate (W) - Hourly,1 LVL TZ: Zone Electric Equipment Electricity Rate (W) - Hourly,2 LVL TZ: Zone Electric Equipment Electricity Rate (W) - Hourly,CONST SPD FAN: Fan Electricity Rate (W) - Hourly,CONST SPD FAN 1: Fan Electricity Rate (W) - Hourly,FAN CONSTANT VOLUME 1: Fan Electricity Rate (W) - Hourly,1 SPD DX CLG COIL: Cooling Coil Electricity Rate (W) - Hourly,1 SPD DX CLG COIL 1: Cooling Coil Electricity Rate (W) - Hourly,COIL COOLING DX SINGLE SPEED 1: Cooling Coil Electricity Rate (W) - Hourly,PUMP CONSTANT SPEED 1: Pump Electricity Rate (W) - Hourly
21 Jul 23:00,900,37.5,8.76605952838605,0,204.85268064028347,0,97.14285714285711,1603.5559973303746,0,0,32.24248204999234
22 Jul 00:00,75,37.5,8.76605952838605,0,204.85268064028355,0,97.14285714285712,1174.77841025414,0,0,32.24248204999236
21 Jul 01:00,0,37.5,0,0,204.85268064028364,0,97.14285714285721,1202.5015011185276,0,0,0
21 Jul 02:00,0,37.5,0,0,204.85268064028358,0,97.14285714285718,1132.2434645638875,0,0,0
21 Jul 03:00,0,37.5,0,0,204.85268064028358,0,97.14285714285718,1106.2007804895418,0,0,0
21 Jul 04:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,966.5169220645863,0,0,0
21 Jul 05:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,988.0807050526545,0,0,32.24248204999236
21 Jul 06:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,981.6633894052379,0,0,0
21 Jul 07:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,1009.0705639803542,0,0,0
21 Jul 08:00,75,37.5,0,0,204.85268064028358,0,97.14285714285717,1433.4303036179947,0,0,21.49498803332824
21 Jul 09:00,941.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028364,0,0,167.4238638378023,0,0,32.24248204999237
21 Jul 10:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,92.8132291355699,0,0,32.24248204999236
21 Jul 11:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,104.11447996200724,0,0,32.24248204999236
21 Jul 12:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,107.11010637954924,0,0,32.24248204999236
21 Jul 13:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,102.38197652127194,0,0,32.24248204999236
21 Jul 14:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,97.44564317184647,0,0,32.24248204999236
21 Jul 15:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,100.73306649787492,0,0,32.24248204999236
21 Jul 16:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,98.0743419486148,0,0,32.24248204999236
21 Jul 17:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,92.61581190171209,0,0,32.24248204999236
21 Jul 18:00,1016.5261598103294,380.0908184352175,5000,51.907699762911754,204.85268064028355,0,0,137.90199047500366,0,0,0.537374700833206
21 Jul 19:00,41.5261598103294,380.0908184352175,5000,51.907699762911754,204.85268064028352,0,0,125.31520100432111,0,0,18.80811452916221
21 Jul 20:00,41.5261598103294,380.0908184352175,5000,51.907699762911754,204.85268064028352,0,0,112.04863195511548,0,0,0
21 Jul 21:00,0,37.5,8.76605952838605,0,204.85268064028358,0,97.14285714285717,2756.190557125407,0,58.765589326770794,0
21 Jul 22:00,0,37.5,8.76605952838605,0,204.85268064028358,0,97.14285714285717,2279.540061067431,0,6.085144994586398,0
21 Jul 23:00,900,37.5,8.76605952838605,0,204.85268064028355,0,97.14285714285712,1984.253602421625,0,0,32.24248204999236
22 Jul 00:00,75,37.5,8.76605952838605,0,204.85268064028347,0,97.1428571428571,1415.7656482916711,0,0,32.24248204999234
21 Jul 01:00,0,37.5,0,0,204.85268064028358,0,97.14285714285718,1180.5246337880874,0,0,0
21 Jul 02:00,0,37.5,0,0,204.85268064028358,0,97.14285714285718,1150.3429337341474,0,0,0
21 Jul 03:00,0,37.5,0,0,204.85268064028355,0,97.14285714285712,1032.5027286822842,0,0,0
21 Jul 04:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,997.117126895986,0,0,0
21 Jul 05:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,1013.4599526224106,0,0,32.24248204999236
21 Jul 06:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,1001.647750078852,0,0,0
21 Jul 07:00,0,37.5,0,0,204.85268064028352,0,97.14285714285712,956.4388113751289,0,0,0
21 Jul 08:00,75,37.5,0,0,204.85268064028355,0,97.14285714285715,1095.9859868628178,0,0,4.030310256249045
21 Jul 09:00,941.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028364,0,0,183.76026438147596,0,0,32.24248204999237
21 Jul 10:00,41.5261598103294,380.0908184352175,0,51.907699762911754,204.85268064028352,0,0,96.48133564023912,0,0,32.24248204999236
