Time,600 GAL WATER HEATER - 600 KBTU/HR: Water Heater Heating Rate (W) - Hourly,COIL HEATING GAS 1: Heating Coil NaturalGas Rate (W) - Hourly,1 SPD DX CLG COIL: Cooling Coil Total Cooling Rate (W) - Hourly,1 SPD DX CLG COIL 1: Cooling Coil Total Cooling Rate (W) - Hourly,COIL COOLING DX SINGLE SPEED 1: Cooling Coil Total Cooling Rate (W) - Hourly
21 Jan 08:00,3598.725329813882,5200.754385894743,0,0,0
21 Jan 09:00,14358.56164720062,0,168.60326859567976,0,0
21 Jan 10:00,17957.809191669705,0,157.57653544457327,0,0
21 Jan 11:00,18859.12364499051,0,123.6070000029322,0,0
21 Jan 12:00,17920.657409956882,0,187.16088999814062,0,0
21 Jan 13:00,0,0,228.81951147434768,0,0
21 Jan 14:00,0,0,225.1684301425249,0,0
21 Jan 15:00,0,0,225.6986900040438,0,0
21 Jan 16:00,0,0,226.34431169066139,0,0
21 Jan 17:00,0,0,226.64729392491563,0,0
21 Jan 18:00,0,0,444.3651923522618,0,0
21 Jan 19:00,0,0,326.14712120179905,0,0
21 Jan 20:00,0,0,413.13508855512936,0,0
21 Jan 21:00,0,5200.754385894743,0,0,0
21 Jan 22:00,0,5200.754385894743,0,0,0
21 Jan 23:00,0,5200.754385894743,0,0,0
22 Jan 00:00,0,5200.754385894743,0,0,0
21 Jan 01:00,0,10911.178747302083,0,0,0
21 Jan 02:00,0,10911.178747302083,0,0,0
21 Jan 03:00,0,10911.178747302083,0,0,0
21 Jan 04:00,0,10911.178747302083,0,0,0
21 Jan 05:00,8086.053728503338,10911.178747302083,0,0,0
21 Jan 06:00,0,10911.178747302083,0,0,0
21 Jan 07:00,0,10911.178747302083,0,0,0
21 Jan 08:00,899.3923231213726,10911.178747302083,0,0,0
21 Jan 09:00,9897.319108935279,0,0,0,0
21 Jan 10:00,18859.761398487197,0,0,0,0
21 Jan 11:00,17958.46711259293,0,0,0,0
21 Jan 12:00,18859.752820130914,0,0,0,0
21 Jan 13:00,0,0,0,0,0
21 Jan 14:00,0,0,0,0,0
21 Jan 15:00,0,0,0,0,0
21 Jan 16:00,0,0,0,0,0
21 Jan 17:00,0,0,0,0,0
21 Jan 18:00,0,0,0,0,0
21 Jan 19:00,0,0,0,0,0
21 Jan 20:00,0,0,0,0,0
21 Jan 21:00,0,10911.178747302083,0,0,0
21 Jan 22:00,0,10911.178747302083,0,0,0
21 Jan 23:00,0,10911.178747302083,0,0,0
22 Jan 00:00,0,10911.178747302083,0,0,0
01 Jan 01:00,0,5719.42383704168,0,0,0
01 Jan 02:00,0,5974.9626891865955,0,0,0
01 Jan 03:00,0,5998.918472138722,0,0,0
01 Jan 04:00,0,6027.906015598511,0,0,0
01 Jan 05:00,8086.101804525973,6060.303227972206,0,0,0
